Teams,Coordinates,Longitude,Latitude
Lions,"-112.014232, 33.508746",-112.014232, 33.508746
Packers,"-112.014232, 33.508746",-112.014232, 33.508746
Lions,"-112.014232, 33.508746",-112.014232, 33.508746
Bears,"-81.046876, 35.001706",-81.046876, 35.001706
Vikings,"-93.329515, 44.889964",-93.329515, 44.889964
Jets,"-96.85743, 32.997151",-96.85743, 32.997151
Jets,"-74.041878, 40.570842",-74.041878, 40.570842
Vikings,"-93.329515, 44.889964",-93.329515, 44.889964
Browns,"-73.962582, 40.541722",-73.962582, 40.541722
Titans,"-73.962582, 40.541722",-73.962582, 40.541722
Cowboys,"-93.290637, 45.035336",-93.290637, 45.035336
Bills,"-97.239256, 43.499362",-97.239256, 43.499362
Steelers,"-85.605166, 30.355644",-85.605166, 30.355644
Saints,"-82.588866, 27.293114",-82.588866, 27.293114
Broncos,"-114.316038, 50.84278",-114.316038, 50.84278
Patriots,"-71.177553, 42.135115",-71.177553, 42.135115
49ers,"-88.139804, 44.47174",-88.139804, 44.47174
Panthers,"-75.280284, 39.871811",-75.280284, 39.871811
Cowboys,"-95.846367, 29.676113",-95.846367, 29.676113
Giants,"-95.846367, 29.676113",-95.846367, 29.676113
Ravens,"-76.976222, 39.448205",-76.976222, 39.448205
Bills,"-76.976222, 39.448205",-76.976222, 39.448205
Packers,"-79.487651, 37.886607",-79.487651, 37.886607
Redskins,"-79.487651, 37.886607",-79.487651, 37.886607
Bears,"-89.671507, 42.581987",-89.671507, 42.581987
Bills,"-97.239256, 43.499362",-97.239256, 43.499362
Texans,"-80.203991, 26.320692",-80.203991, 26.320692
Redskins,"-73.701496, 40.582128",-73.701496, 40.582128
Bears,"-89.671507, 42.581987",-89.671507, 42.581987
Broncos,"-117.243028, 41.987982",-117.243028, 41.987982
Lions,"-117.243028, 41.987982",-117.243028, 41.987982
Jets,"-117.243028, 41.987982",-117.243028, 41.987982
Steelers,"-117.243028, 41.987982",-117.243028, 41.987982
Redskins,"-117.243028, 41.987982",-117.243028, 41.987982
Ravens,"-74.026675, 40.683935",-74.026675, 40.683935
Broncos,"-74.026675, 40.683935",-74.026675, 40.683935
Bears,"-77.119401, 38.801826",-77.119401, 38.801826
Cowboys,"-77.119401, 38.801826",-77.119401, 38.801826
Cowboys,"-99.315748, 19.087511",-99.315748, 19.087511
Chiefs,"-99.315748, 19.087511",-99.315748, 19.087511
Eagles,"-99.315748, 19.087511",-99.315748, 19.087511
Bears,"-87.940033, 41.644102",-87.940033, 41.644102
Raiders,"-115.384091, 36.129459",-115.384091, 36.129459
Raiders,"-115.384091, 36.129459",-115.384091, 36.129459
Rams,"-87.940033, 41.644102",-87.940033, 41.644102
Raiders,"-115.384091, 36.129459",-115.384091, 36.129459
Lions,"-112.014232, 33.508746",-112.014232, 33.508746
Jets,"-74.272957, 40.834792",-74.272957, 40.834792
Seahawks,"-74.272957, 40.834792",-74.272957, 40.834792
Patriots,"-71.251746, 42.183173",-71.251746, 42.183173
49ers,"-97.928935, 30.127892",-97.928935, 30.127892
Cowboys,"-89.57151, 36.497129",-89.57151, 36.497129
Titans,"-89.57151, 36.497129",-89.57151, 36.497129
Lions,"-112.014232, 33.508746",-112.014232, 33.508746
Falcons,"-76.62797, 36.960216",-76.62797, 36.960216
Eagles,"-76.62797, 36.960216",-76.62797, 36.960216
Steelers,"-85.605166, 30.355644",-85.605166, 30.355644
Steelers,"-76.62797, 36.960216",-76.62797, 36.960216
Cowboys,"-82.520132, 28.251311",-82.520132, 28.251311
Steelers,"-85.605166, 30.355644",-85.605166, 30.355644
Falcons,"-85.605166, 30.355644",-85.605166, 30.355644
Raiders,"-115.384091, 36.129459",-115.384091, 36.129459
Bears,"-80.773682, 41.203919",-80.773682, 41.203919
Cowboys,"-76.767088, 39.094164",-76.767088, 39.094164
Lions,"-112.014232, 33.508746",-112.014232, 33.508746
Seahawks,"-122.253717, 47.423263",-122.253717, 47.423263
Raiders,"-115.384091, 36.129459",-115.384091, 36.129459
Raiders,"-115.384091, 36.129459",-115.384091, 36.129459
Raiders,"-115.384091, 36.129459",-115.384091, 36.129459
Raiders,"-115.384091, 36.129459",-115.384091, 36.129459
Giants,"-85.795777, 33.70816",-85.795777, 33.70816
49ers,"-85.795777, 33.70816",-85.795777, 33.70816
Broncos,"-104.910562, 38.741142",-104.910562, 38.741142
Texans,"-104.910562, 38.741142",-104.910562, 38.741142
Raiders,"-115.384091, 36.129459",-115.384091, 36.129459
Ravens,"-84.820309, 38.403186",-84.820309, 38.403186
Raiders,"-115.384091, 36.129459",-115.384091, 36.129459
Packers,"-121.074342, 37.59485",-121.074342, 37.59485
Redskins,"-121.074342, 37.59485",-121.074342, 37.59485
Raiders,"-115.384091, 36.129459",-115.384091, 36.129459
49ers,"-76.711521, 39.197211",-76.711521, 39.197211
Texans,"-97.895204, 27.462959",-97.895204, 27.462959
Patriots,"-97.895204, 27.462959",-97.895204, 27.462959
Raiders,"-115.384091, 36.129459",-115.384091, 36.129459
Colts,"-88.151014, 44.445096",-88.151014, 44.445096
Raiders,"-115.384091, 36.129459",-115.384091, 36.129459
Bears,"-89.671507, 42.581987",-89.671507, 42.581987
Packers,"-89.671507, 42.581987",-89.671507, 42.581987
Ravens,"-99.315748, 19.087511",-99.315748, 19.087511
Chiefs,"-99.315748, 19.087511",-99.315748, 19.087511
Patriots,"-99.315748, 19.087511",-99.315748, 19.087511
Saints,"-99.315748, 19.087511",-99.315748, 19.087511
Eagles,"-99.315748, 19.087511",-99.315748, 19.087511
Seahawks,"-99.315748, 19.087511",-99.315748, 19.087511
Lions,"-112.014232, 33.508746",-112.014232, 33.508746
Lions,"-112.014232, 33.508746",-112.014232, 33.508746
Bills,"-78.832497, 42.948903",-78.832497, 42.948903
Saints,"-98.778559, 29.141956",-98.778559, 29.141956
Texans,"-79.987463, 39.584088",-79.987463, 39.584088
49ers,"-73.275103, 41.220538",-73.275103, 41.220538
Raiders,"-115.384091, 36.129459",-115.384091, 36.129459
Texans,"-97.895204, 27.462959",-97.895204, 27.462959
Patriots,"-97.895204, 27.462959",-97.895204, 27.462959
Steelers,"-79.915264, 40.491302",-79.915264, 40.491302
Texans,"-76.334287, 36.820791",-76.334287, 36.820791
Bengals,"-117.282538, 32.53962",-117.282538, 32.53962
Redskins,"-84.4468, 33.876737",-84.4468, 33.876737
Browns,"-81.970255, 41.41104",-81.970255, 41.41104
Cowboys,"-81.970255, 41.41104",-81.970255, 41.41104
Eagles,"-80.519851, 39.719801",-80.519851, 39.719801
49ers,"-88.139804, 44.47174",-88.139804, 44.47174
Jets,"-75.167689, 40.671426",-75.167689, 40.671426
Saints,"-91.218994, 30.354161",-91.218994, 30.354161
Redskins,"-77.47102, 39.049757",-77.47102, 39.049757
Raiders,"-115.384091, 36.129459",-115.384091, 36.129459
Raiders,"-94.233379, 29.989715",-94.233379, 29.989715
Titans,"-74.896951, 39.959168",-74.896951, 39.959168
Cowboys,"-122.160814, 37.592632",-122.160814, 37.592632
Lions,"-112.014232, 33.508746",-112.014232, 33.508746
Cowboys,"-77.172219, 38.827378",-77.172219, 38.827378
Eagles,"-77.172219, 38.827378",-77.172219, 38.827378
49ers,"-1.644421, 53.713041",-1.644421, 53.713041
Falcons,"-85.605166, 30.355644",-85.605166, 30.355644
Packers,"-124.703541, 41.991795",-124.703541, 41.991795
Redskins,"-124.703541, 41.991795",-124.703541, 41.991795
Patriots,"-71.251746, 42.183173",-71.251746, 42.183173
Ravens,"-76.84036, 39.067793",-76.84036, 39.067793
Raiders,"-115.384091, 36.129459",-115.384091, 36.129459
Ravens,"-77.602414, 39.067605",-77.602414, 39.067605
Steelers,"-85.605166, 30.355644",-85.605166, 30.355644
Browns,"-81.970255, 41.41104",-81.970255, 41.41104
Cowboys,"-81.970255, 41.41104",-81.970255, 41.41104
Steelers,"-85.605166, 30.355644",-85.605166, 30.355644
Steelers,"-80.519851, 39.719801",-80.519851, 39.719801
Giants,"-71.084335, 42.917127",-71.084335, 42.917127
Eagles,"-71.084335, 42.917127",-71.084335, 42.917127
49ers,"-73.275103, 41.220538",-73.275103, 41.220538
Bears,"-89.671507, 42.581987",-89.671507, 42.581987
Dolphins,"-115.384091, 36.129459",-115.384091, 36.129459
Raiders,"-115.384091, 36.129459",-115.384091, 36.129459
49ers,"-73.275103, 41.220538",-73.275103, 41.220538
Bears,"-89.671507, 42.581987",-89.671507, 42.581987
Ravens,"-80.183471, 40.299456",-80.183471, 40.299456
Browns,"-80.183471, 40.299456",-80.183471, 40.299456
Steelers,"-80.183471, 40.299456",-80.183471, 40.299456
49ers,"-80.183471, 40.299456",-80.183471, 40.299456
Packers,"-88.070827, 42.920822",-88.070827, 42.920822
49ers,"-115.209254, 35.984784",-115.209254, 35.984784
Jaguars,"-3.207316, 51.41538",-3.207316, 51.41538
Titans,"-87.022482, 35.994568",-87.022482, 35.994568
49ers,"-115.209254, 35.984784",-115.209254, 35.984784
49ers,"-85.605166, 30.355644",-85.605166, 30.355644
Cardinals,"-115.209254, 35.984784",-115.209254, 35.984784
Steelers,"-115.209254, 35.984784",-115.209254, 35.984784
Rams,"-115.209254, 35.984784",-115.209254, 35.984784
Redskins,"-77.47102, 39.049757",-77.47102, 39.049757
Steelers,"-80.095586, 40.36158",-80.095586, 40.36158
Lions,"-90.135782, 34.994192",-90.135782, 34.994192
Patriots,"-90.135782, 34.994192",-90.135782, 34.994192
Broncos,"-80.71159, 40.970454",-80.71159, 40.970454
Lions,"-80.71159, 40.970454",-80.71159, 40.970454
Jets,"-80.71159, 40.970454",-80.71159, 40.970454
Steelers,"-80.71159, 40.970454",-80.71159, 40.970454
Redskins,"-80.71159, 40.970454",-80.71159, 40.970454
Falcons,"-85.605166, 30.355644",-85.605166, 30.355644
Ravens,"-91.218994, 30.354161",-91.218994, 30.354161
Giants,"-75.280284, 39.871811",-75.280284, 39.871811
Eagles,"-75.280284, 39.871811",-75.280284, 39.871811
Cardinals,"-82.476208, 34.922896",-82.476208, 34.922896
Cowboys,"-82.476208, 34.922896",-82.476208, 34.922896
Lions,"-82.476208, 34.922896",-82.476208, 34.922896
Redskins,"-77.47102, 39.049757",-77.47102, 39.049757
Cardinals,"-82.476208, 34.922896",-82.476208, 34.922896
Cowboys,"-82.476208, 34.922896",-82.476208, 34.922896
Lions,"-82.476208, 34.922896",-82.476208, 34.922896
Panthers,"-80.766298, 35.321152",-80.766298, 35.321152
Patriots,"-80.766298, 35.321152",-80.766298, 35.321152
Packers,"-119.93251, 36.648905",-119.93251, 36.648905
Redskins,"-119.93251, 36.648905",-119.93251, 36.648905
Bears,"-87.713559, 41.527807",-87.713559, 41.527807
Lions,"-112.014232, 33.508746",-112.014232, 33.508746
Packers,"-76.902529, 38.825445",-76.902529, 38.825445
Redskins,"-76.902529, 38.825445",-76.902529, 38.825445
Bears,"-75.017983, 39.834074",-75.017983, 39.834074
Cowboys,"-75.017983, 39.834074",-75.017983, 39.834074
Eagles,"-75.017983, 39.834074",-75.017983, 39.834074
Lions,"-87.940033, 41.644102",-87.940033, 41.644102
49ers,"-122.035311, 37.193164",-122.035311, 37.193164
Cowboys,"-119.93251, 36.648905",-119.93251, 36.648905
Bills,"-78.912276, 42.826008",-78.912276, 42.826008
Cowboys,"-78.912276, 42.826008",-78.912276, 42.826008
Jaguars,"-74.016507, 41.974045",-74.016507, 41.974045
Chargers,"-74.016507, 41.974045",-74.016507, 41.974045
Cowboys,"-87.634643, 24.396308",-87.634643, 24.396308
Jaguars,"-74.016507, 41.974045",-74.016507, 41.974045
Chargers,"-74.016507, 41.974045",-74.016507, 41.974045
Bears,"-84.820309, 38.403186",-84.820309, 38.403186
Cowboys,"-84.820309, 38.403186",-84.820309, 38.403186
Broncos,"-179.231086, 13.182335",-179.231086, 13.182335
Eagles,"-84.4468, 33.876737",-84.4468, 33.876737
Redskins,"-84.4468, 33.876737",-84.4468, 33.876737
Raiders,"-115.384091, 36.129459",-115.384091, 36.129459
Redskins,"-84.4468, 33.876737",-84.4468, 33.876737
Bears,"-96.937783, 33.081206",-96.937783, 33.081206
Cowboys,"-96.937783, 33.081206",-96.937783, 33.081206
Jaguars,"-74.016507, 41.974045",-74.016507, 41.974045
Chargers,"-74.016507, 41.974045",-74.016507, 41.974045
Eagles,"-4.085719, 51.064359",-4.085719, 51.064359
Bears,"-106.634874, 31.620668",-106.634874, 31.620668
Packers,"-106.634874, 31.620668",-106.634874, 31.620668
Chiefs,"-106.634874, 31.620668",-106.634874, 31.620668
Lions,"-3.056968, 53.80665",-3.056968, 53.80665
Giants,"-82.771167, 27.839081",-82.771167, 27.839081
Giants,"-82.771167, 27.839081",-82.771167, 27.839081
49ers,"-82.588866, 27.293114",-82.588866, 27.293114
Bears,"-106.634874, 31.620668",-106.634874, 31.620668
Packers,"-106.634874, 31.620668",-106.634874, 31.620668
Chiefs,"-106.634874, 31.620668",-106.634874, 31.620668
Cowboys,"-97.897898, 30.524702",-97.897898, 30.524702
49ers,"-119.172179, 35.255821",-119.172179, 35.255821
49ers,"-87.634643, 24.396308",-87.634643, 24.396308
Lions,"-112.014232, 33.508746",-112.014232, 33.508746
Jets,"-73.701496, 40.582128",-73.701496, 40.582128
49ers,"-122.035311, 37.193164",-122.035311, 37.193164
Broncos,"-97.895204, 27.462959",-97.895204, 27.462959
Lions,"-97.895204, 27.462959",-97.895204, 27.462959
Jets,"-97.895204, 27.462959",-97.895204, 27.462959
Steelers,"-97.895204, 27.462959",-97.895204, 27.462959
Redskins,"-97.895204, 27.462959",-97.895204, 27.462959
Steelers,"-85.605166, 30.355644",-85.605166, 30.355644
Cowboys,"-118.668404, 33.704538",-118.668404, 33.704538
Titans,"-118.668404, 33.704538",-118.668404, 33.704538
Packers,"-117.565226, 47.5742",-117.565226, 47.5742
Seahawks,"-117.565226, 47.5742",-117.565226, 47.5742
49ers,"-82.588866, 27.293114",-82.588866, 27.293114
Packers,"-85.605166, 30.355644",-85.605166, 30.355644
49ers,"-88.139804, 44.47174",-88.139804, 44.47174
Jets,"-77.172219, 38.827378",-77.172219, 38.827378
Seahawks,"-77.172219, 38.827378",-77.172219, 38.827378
Jaguars,"-87.940033, 41.644102",-87.940033, 41.644102
Rams,"-87.940033, 41.644102",-87.940033, 41.644102
Buccaneers,"-82.620093, 27.821353",-82.620093, 27.821353
Seahawks,"-85.038673, 32.373847",-85.038673, 32.373847
Bengals,"-85.847503, 38.108678",-85.847503, 38.108678
Chiefs,"-94.593389, 39.173738",-94.593389, 39.173738
Falcons,"-85.605166, 30.355644",-85.605166, 30.355644
Bears,"-89.671507, 42.581987",-89.671507, 42.581987
Browns,"-81.970255, 41.41104",-81.970255, 41.41104
Cowboys,"-81.970255, 41.41104",-81.970255, 41.41104
Cowboys,"-88.301598, 30.523874",-88.301598, 30.523874
Titans,"-88.301598, 30.523874",-88.301598, 30.523874
Chiefs,"-71.191421, 42.227797",-71.191421, 42.227797
Patriots,"-71.191421, 42.227797",-71.191421, 42.227797
Falcons,"-85.605166, 30.355644",-85.605166, 30.355644
Chiefs,"-122.562215, 47.166863",-122.562215, 47.166863
Seahawks,"-73.701496, 40.582128",-73.701496, 40.582128
Steelers,"-85.605166, 30.355644",-85.605166, 30.355644
Bills,"-78.832497, 42.948903",-78.832497, 42.948903
Steelers,"-85.605166, 30.355644",-85.605166, 30.355644
Lions,"-112.014232, 33.508746",-112.014232, 33.508746
Saints,"-87.259577, 30.399257",-87.259577, 30.399257
49ers,"-88.139804, 44.47174",-88.139804, 44.47174
Raiders,"-115.384091, 36.129459",-115.384091, 36.129459
Raiders,"-115.384091, 36.129459",-115.384091, 36.129459
Vikings,"-93.329811, 44.716911",-93.329811, 44.716911
Ravens,"-93.248871, 44.717447",-93.248871, 44.717447
Bills,"-93.248871, 44.717447",-93.248871, 44.717447
Vikings,"-93.248871, 44.717447",-93.248871, 44.717447
Cardinals,"-90.67755, 38.700023",-90.67755, 38.700023
Rams,"-90.67755, 38.700023",-90.67755, 38.700023
Bears,"-89.671507, 42.581987",-89.671507, 42.581987
49ers,"-82.588866, 27.293114",-82.588866, 27.293114
Panthers,"-90.137908, 29.889574",-90.137908, 29.889574
Bears,"-90.137908, 29.889574",-90.137908, 29.889574
Packers,"-90.137908, 29.889574",-90.137908, 29.889574
Eagles,"-90.137908, 29.889574",-90.137908, 29.889574
Steelers,"-90.137908, 29.889574",-90.137908, 29.889574
Buccaneers,"-90.137908, 29.889574",-90.137908, 29.889574
Bears,"-92.889433, 42.491921",-92.889433, 42.491921
Packers,"-92.889433, 42.491921",-92.889433, 42.491921
Steelers,"-85.605166, 30.355644",-85.605166, 30.355644
Cowboys,"-98.764721, 29.495566",-98.764721, 29.495566
Colts,"-86.458669, 39.63067",-86.458669, 39.63067
Saints,"-82.950022, 39.947426",-82.950022, 39.947426
Raiders,"-115.384091, 36.129459",-115.384091, 36.129459
Bears,"-89.671507, 42.581987",-89.671507, 42.581987
Cardinals,"-90.67755, 38.700023",-90.67755, 38.700023
Rams,"-90.67755, 38.700023",-90.67755, 38.700023
Bills,"-81.707175, 38.293241",-81.707175, 38.293241
Texans,"-179.231086, 13.182335",-179.231086, 13.182335
Bears,"-71.149807, 42.396145",-71.149807, 42.396145
Cowboys,"-71.149807, 42.396145",-71.149807, 42.396145
49ers,"-82.588866, 27.293114",-82.588866, 27.293114
Titans,"-87.022482, 35.994568",-87.022482, 35.994568
Raiders,"-115.384091, 36.129459",-115.384091, 36.129459
Raiders,"-115.384091, 36.129459",-115.384091, 36.129459
Cowboys,"-74.146675, 40.834409",-74.146675, 40.834409
Cowboys,"-106.645646, 25.837092",-106.645646, 25.837092
Ravens,"-76.843666, 39.38247",-76.843666, 39.38247
Seahawks,"-118.668404, 33.704538",-118.668404, 33.704538
Browns,"-73.701496, 40.582128",-73.701496, 40.582128
Cowboys,"-83.288056, 42.255085",-83.288056, 42.255085
Patriots,"-70.740864, 42.57228",-70.740864, 42.57228
Falcons,"-85.605166, 30.355644",-85.605166, 30.355644
Giants,"-81.351673, 28.480434",-81.351673, 28.480434
Cowboys,"-118.082615, 33.628991",-118.082615, 33.628991
Lions,"-112.014232, 33.508746",-112.014232, 33.508746
Falcons,"-85.605166, 30.355644",-85.605166, 30.355644
Bears,"-89.671507, 42.581987",-89.671507, 42.581987
Patriots,"-71.289373, 42.014991",-71.289373, 42.014991
Seahawks,"-122.233136, 37.423583",-122.233136, 37.423583
Seahawks,"-122.329137, 47.550811",-122.329137, 47.550811
Seahawks,"-122.329137, 47.550811",-122.329137, 47.550811
49ers,"-73.701496, 40.582128",-73.701496, 40.582128
Cowboys,"-96.977527, 32.620678",-96.977527, 32.620678
Texans,"-96.977527, 32.620678",-96.977527, 32.620678
Cowboys,"-88.473228, 30.144425",-88.473228, 30.144425
Seahawks,"-122.329137, 47.550811",-122.329137, 47.550811
Redskins,"-80.519851, 39.719801",-80.519851, 39.719801
Titans,"-115.384091, 36.129459",-115.384091, 36.129459
Cowboys,"-96.85743, 32.997151",-96.85743, 32.997151
Giants,"-85.795777, 33.70816",-85.795777, 33.70816
49ers,"-85.795777, 33.70816",-85.795777, 33.70816
Patriots,"-80.462722, 27.689875",-80.462722, 27.689875
Falcons,"-85.605166, 30.355644",-85.605166, 30.355644
Raiders,"-115.384091, 36.129459",-115.384091, 36.129459
Falcons,"-88.473228, 30.144425",-88.473228, 30.144425
Ravens,"-88.473228, 30.144425",-88.473228, 30.144425
Cowboys,"-88.473228, 30.144425",-88.473228, 30.144425
49ers,"-88.473228, 30.144425",-88.473228, 30.144425
Redskins,"-88.473228, 30.144425",-88.473228, 30.144425
Bills,"-91.601375, 44.759861",-91.601375, 44.759861
Chiefs,"-87.022482, 35.994568",-87.022482, 35.994568
Titans,"-87.022482, 35.994568",-87.022482, 35.994568
Cowboys,"-98.778559, 29.141956",-98.778559, 29.141956
Redskins,"-77.158594, 38.940225",-77.158594, 38.940225
Redskins,"-77.158594, 38.940225",-77.158594, 38.940225
Packers,"-117.359298, 33.060615",-117.359298, 33.060615
Redskins,"-117.359298, 33.060615",-117.359298, 33.060615
Steelers,"-79.915264, 40.491302",-79.915264, 40.491302
Redskins,"-77.158594, 38.940225",-77.158594, 38.940225
49ers,"-88.139804, 44.47174",-88.139804, 44.47174
Cardinals,"-95.774704, 35.995476",-95.774704, 35.995476
Lions,"-112.014232, 33.508746",-112.014232, 33.508746
Redskins,"-77.158594, 38.940225",-77.158594, 38.940225
Panthers,"-85.605166, 30.355644",-85.605166, 30.355644
Lions,"-112.014232, 33.508746",-112.014232, 33.508746
Cowboys,"-99.315748, 19.087511",-99.315748, 19.087511
Redskins,"-77.158594, 38.940225",-77.158594, 38.940225
Redskins,"-77.158594, 38.940225",-77.158594, 38.940225
Cowboys,"-90.137908, 29.889574",-90.137908, 29.889574
Lions,"-80.379889, 25.612589",-80.379889, 25.612589
Cardinals,"-95.774704, 35.995476",-95.774704, 35.995476
Ravens,"-76.711521, 39.197211",-76.711521, 39.197211
Seahawks,"-111.919089, 33.475078",-111.919089, 33.475078
Giants,"-74.026675, 40.683935",-74.026675, 40.683935
Chiefs,"-94.733122, 38.868002",-94.733122, 38.868002
Giants,"-72.994697, 41.233074",-72.994697, 41.233074
49ers,"-72.994697, 41.233074",-72.994697, 41.233074
Broncos,"-122.035311, 37.193164",-122.035311, 37.193164
Lions,"-122.035311, 37.193164",-122.035311, 37.193164
Jets,"-122.035311, 37.193164",-122.035311, 37.193164
Steelers,"-122.035311, 37.193164",-122.035311, 37.193164
Redskins,"-122.035311, 37.193164",-122.035311, 37.193164
Browns,"-81.133668, 29.127565",-81.133668, 29.127565
Packers,"-81.133668, 29.127565",-81.133668, 29.127565
Colts,"-81.133668, 29.127565",-81.133668, 29.127565
Dolphins,"-81.133668, 29.127565",-81.133668, 29.127565
Jets,"-73.962582, 40.541722",-73.962582, 40.541722
Seahawks,"-73.962582, 40.541722",-73.962582, 40.541722
Bills,"-78.801819, 42.803843",-78.801819, 42.803843
Jets,"-70.950694, 42.48393",-70.950694, 42.48393
Cardinals,"-90.137908, 29.889574",-90.137908, 29.889574
Rams,"-90.137908, 29.889574",-90.137908, 29.889574
Titans,"-84.19397, 35.831436",-84.19397, 35.831436
Bears,"-89.671507, 42.581987",-89.671507, 42.581987
Ravens,"-112.038311, 40.699895",-112.038311, 40.699895
Eagles,"-97.239256, 43.499362",-97.239256, 43.499362
Browns,"-81.133668, 29.127565",-81.133668, 29.127565
Packers,"-81.133668, 29.127565",-81.133668, 29.127565
Colts,"-81.133668, 29.127565",-81.133668, 29.127565
Dolphins,"-81.133668, 29.127565",-81.133668, 29.127565
Giants,"-85.795777, 33.70816",-85.795777, 33.70816
49ers,"-85.795777, 33.70816",-85.795777, 33.70816
Ravens,"-97.822813, 32.39284",-97.822813, 32.39284
Lions,"-112.014232, 33.508746",-112.014232, 33.508746
Steelers,"-79.915264, 40.491302",-79.915264, 40.491302
Giants,"-71.084335, 42.917127",-71.084335, 42.917127
Seahawks,"-92.889433, 42.491921",-92.889433, 42.491921
Ravens,"-79.487651, 37.886607",-79.487651, 37.886607
Packers,"-117.359298, 33.060615",-117.359298, 33.060615
Redskins,"-117.359298, 33.060615",-117.359298, 33.060615
Redskins,"-77.158594, 38.940225",-77.158594, 38.940225
Saints,"-90.331039, 32.049347",-90.331039, 32.049347
Ravens,"-76.722998, 39.212873",-76.722998, 39.212873
Browns,"-72.994697, 41.233074",-72.994697, 41.233074
Steelers,"-72.994697, 41.233074",-72.994697, 41.233074
Giants,"-82.588866, 27.293114",-82.588866, 27.293114
49ers,"-82.588866, 27.293114",-82.588866, 27.293114
Jets,"-74.255641, 40.495865",-74.255641, 40.495865
Cowboys,"-75.280284, 39.871811",-75.280284, 39.871811
Patriots,"-71.100033, 42.471654",-71.100033, 42.471654
49ers,"-84.372416, 39.040029",-84.372416, 39.040029
Browns,"-81.133668, 29.127565",-81.133668, 29.127565
Packers,"-81.133668, 29.127565",-81.133668, 29.127565
Colts,"-81.133668, 29.127565",-81.133668, 29.127565
Dolphins,"-81.133668, 29.127565",-81.133668, 29.127565
Redskins,"-77.158594, 38.940225",-77.158594, 38.940225
Lions,"-112.014232, 33.508746",-112.014232, 33.508746
Panthers,"-82.069852, 39.864371",-82.069852, 39.864371
Redskins,"-77.158594, 38.940225",-77.158594, 38.940225
Cowboys,"-95.774704, 35.995476",-95.774704, 35.995476
Raiders,"-96.977527, 32.620678",-96.977527, 32.620678
Redskins,"-77.158594, 38.940225",-77.158594, 38.940225
Redskins,"-77.158594, 38.940225",-77.158594, 38.940225
Bears,"-87.940033, 41.644102",-87.940033, 41.644102
49ers,"-84.372416, 39.040029",-84.372416, 39.040029
Redskins,"-77.158594, 38.940225",-77.158594, 38.940225
Falcons,"-90.135782, 34.994192",-90.135782, 34.994192
49ers,"-72.994697, 41.233074",-72.994697, 41.233074
Patriots,"-3.94958, 40.475009",-3.94958, 40.475009
Redskins,"-77.158594, 38.940225",-77.158594, 38.940225
Ravens,"-74.041878, 40.570842",-74.041878, 40.570842
Falcons,"-90.135782, 34.994192",-90.135782, 34.994192
Redskins,"-77.158594, 38.940225",-77.158594, 38.940225
Redskins,"-77.158594, 38.940225",-77.158594, 38.940225
Steelers,"-85.605166, 30.355644",-85.605166, 30.355644
Packers,"-88.0601, 44.501619",-88.0601, 44.501619
Lions,"-112.014232, 33.508746",-112.014232, 33.508746
Redskins,"-77.158594, 38.940225",-77.158594, 38.940225
Broncos,"-113.71368, 53.395531",-113.71368, 53.395531
Patriots,"-71.191421, 42.227797",-71.191421, 42.227797
Redskins,"-77.158594, 38.940225",-77.158594, 38.940225
Bengals,"-77.119401, 38.801826",-77.119401, 38.801826
Ravens,"-80.764486, 35.081194",-80.764486, 35.081194
Ravens,"-111.921658, 40.528084",-111.921658, 40.528084
Cowboys,"-95.823268, 29.522325",-95.823268, 29.522325
Panthers,"-82.069852, 39.864371",-82.069852, 39.864371
Bears,"-87.804144, 41.821108",-87.804144, 41.821108
Eagles,"-75.280284, 39.871811",-75.280284, 39.871811
Redskins,"-77.158594, 38.940225",-77.158594, 38.940225
Browns,"-81.133668, 29.127565",-81.133668, 29.127565
Packers,"-81.133668, 29.127565",-81.133668, 29.127565
Colts,"-81.133668, 29.127565",-81.133668, 29.127565
Dolphins,"-81.133668, 29.127565",-81.133668, 29.127565
Ravens,"-80.519851, 39.719801",-80.519851, 39.719801
Bears,"-89.671507, 42.581987",-89.671507, 42.581987
Broncos,"-90.135782, 34.994192",-90.135782, 34.994192
Redskins,"-77.158594, 38.940225",-77.158594, 38.940225
Bears,"-96.234587, 41.175884",-96.234587, 41.175884
Raiders,"-115.384091, 36.129459",-115.384091, 36.129459
Redskins,"-77.158594, 38.940225",-77.158594, 38.940225
Rams,"-73.701496, 40.582128",-73.701496, 40.582128
Redskins,"-77.158594, 38.940225",-77.158594, 38.940225
49ers,"-117.895753, 34.00286",-117.895753, 34.00286
Falcons,"-85.605166, 30.355644",-85.605166, 30.355644
Bears,"-82.519854, 35.444383",-82.519854, 35.444383
Packers,"-90.137908, 29.889574",-90.137908, 29.889574
Redskins,"-77.158594, 38.940225",-77.158594, 38.940225
Patriots,"-84.576827, 33.647503",-84.576827, 33.647503
Redskins,"-77.158594, 38.940225",-77.158594, 38.940225
Ravens,"-89.06759, 37.773879",-89.06759, 37.773879
Browns,"-84.307688, 39.695193",-84.307688, 39.695193
49ers,"-117.895753, 34.00286",-117.895753, 34.00286
49ers,"-99.067766, 19.366862",-99.067766, 19.366862
Steelers,"-79.915264, 40.491302",-79.915264, 40.491302
Redskins,"-77.158594, 38.940225",-77.158594, 38.940225
Ravens,"-87.634643, 24.396308",-87.634643, 24.396308
Ravens,"-84.820309, 38.403186",-84.820309, 38.403186
